,client_id,transaction_volume,correspondant_name,correspondant_bank_name,date,direction
25,46,33000,Grunewald u. Hüther OHG,DEUTSCHE BANK,2019-10-19,in
26,76,31000,Faber OHG,N26,2021-09-25,out
27,84,38000,Gundlach AG,DEUTSCHE BANK,2019-02-19,out
28,35,32000,Pfeiffer K.G.,COMMERZBANK,2021-01-19,out
29,27,13000,Bäumer und Emde AG u. Co. KG,SANTANDER,2018-08-30,in
30,64,14000,Behn GmbH,COMMERZBANK,2019-01-21,out
31,90,36000,Kupka AG & Co. KG,COMMERZBANK,2020-09-27,out
32,66,34000,Scheibel OHG,COMMERZBANK,2018-07-29,in
33,16,33000,Freyer Offene Handelsgesellschaft,N26,2018-12-25,in
34,83,38000,Maurer A.G,REVOLUT,2020-06-13,in
35,51,34000,Will O.H.G.,N26,2019-11-12,out
36,57,35000,Kampe und Möbus GmbH & Co. KG,SANTANDER,2020-10-21,out
37,41,48000,Leis und Rütten K.G,REVOLUT,2020-08-24,out
38,90,40000,Kupka AG & Co. KG,COMMERZBANK,2021-02-17,out
39,60,40000,Buhr G.m.b.H.,DEUTSCHE BANK,2019-11-09,out
40,11,35000,Storm GmbH,SANTANDER,2020-08-12,out
41,73,46000,Post und Hofer AG & Co. KG,SANTANDER,2021-06-08,in
42,79,27000,Obst O.H.G,SANTANDER,2021-05-28,out
43,67,25000,Kühne GmbH u. Co. KG,COMMERZBANK,2021-11-29,out
44,60,50000,Kamps GmbH & Co. KG,DEUTSCHE BANK,2018-10-04,in
45,17,18000,Blume & Hubert GMBH,COMMERZBANK,2019-09-16,out
46,25,47000,Stecher K.G,SANTANDER,2021-05-01,in
47,25,49000,Stecher K.G,N26,2020-07-05,in
48,43,49000,Hörner A.G,COMMERZBANK,2021-09-25,out
49,32,12000,Krupp u. Möhle AG,N26,2019-12-13,in
50,56,21000,Körner GMBH,COMMERZBANK,2018-07-13,in
51,20,25000,PfauKommanditgesellschaft,REVOLUT,2021-10-08,in
52,17,47000,Sauer AG und Co. KG,SANTANDER,2020-01-26,in
53,93,48000,Kling und Dengler A.G. & Co. KG,COMMERZBANK,2018-11-24,in
54,76,22000,Drechsler & GuhlAktiengesellschaft,DEUTSCHE BANK,2018-11-22,out
55,90,11000,Höller GmbH u. Co. KG,WISE,2020-10-18,in
56,30,49000,Posselt & Gräf G.M.B.H.,COMMERZBANK,2020-06-03,out
57,80,23000,Bott u. Brecht A.G.,DEUTSCHE BANK,2019-01-25,out
58,53,42000,Seibert & Kreis A.G.,DEUTSCHE BANK,2019-09-12,out
59,13,38000,Schubert AG u. Co. KG,REVOLUT,2021-07-28,out
60,17,38000,Basler und Bongartz G.m.b.H.,WISE,2020-08-15,in
61,62,32000,Brock & Fischbach AG & Co. KG,REVOLUT,2020-02-03,in
62,33,27000,Bittner und Beutler GmbH und Co. KG,SANTANDER,2021-03-21,in
63,50,19000,Pabst G.m.b.H.,WISE,2019-01-01,in
64,43,23000,Kolbeck u. Heiden AG & Co. KG,SANTANDER,2020-07-16,out
65,34,46000,Wedekind AG & Co. KG,DEUTSCHE BANK,2020-01-21,out
66,91,24000,Czech AG und Co. KG,DEUTSCHE BANK,2020-08-30,out
67,20,48000,Döhler AG,SANTANDER,2019-12-06,out
68,59,13000,Siegel AG,COMMERZBANK,2019-05-02,out
69,24,41000,Häfele GMBH,COMMERZBANK,2019-01-09,out
70,83,27000,Menzel O.H.G,SANTANDER,2020-04-01,in
71,89,30000,SchottGesellschaft M.B.H.,WISE,2018-10-04,in
72,57,29000,Degenhardt & Fütterer OHG,SANTANDER,2018-07-08,in
73,6,13000,RöderGesellschaft mit beschränkter Haftung,SANTANDER,2019-05-05,out
74,14,43000,Büsing O.H.G.,DEUTSCHE BANK,2020-10-09,in
75,48,18000,Pagel u. Merkel GmbH und Co. KG,WISE,2019-01-31,out
76,10,42000,Freudenberg AG und Co. KG,DEUTSCHE BANK,2021-01-06,out
77,42,35000,Strube u. Niemeyer A.G,DEUTSCHE BANK,2021-07-09,in
78,25,50000,Stecher K.G,SANTANDER,2019-09-05,out
79,69,35000,Flohr und Schüle G.M.B.H.,COMMERZBANK,2019-10-19,out
80,48,50000,Sohn & Menzel AG,DEUTSCHE BANK,2019-04-22,in
81,73,12000,Basler GmbH & Co. KG,COMMERZBANK,2021-08-20,out
82,82,22000,Holzer O.H.G,SANTANDER,2019-09-13,out
83,76,31000,Leibold G.m.b.H.,SANTANDER,2019-07-31,out
84,66,47000,Scheibel OHG,SANTANDER,2020-01-22,in
85,9,18000,Krauße Offene Handelsgesellschaft,SANTANDER,2018-10-23,in
86,64,23000,Thies u. Eilers O.H.G.,REVOLUT,2019-03-05,out
87,56,18000,Jungmann GmbH,N26,2021-04-07,in
88,82,47000,Klingenberg und SiegertGesellschaft mbH,SANTANDER,2021-12-16,out
89,87,35000,Freudenberg & Zach GmbH u. Co. KG,COMMERZBANK,2020-03-24,in
90,55,21000,Stach OHG,DEUTSCHE BANK,2019-11-02,in
91,75,47000,Hensel und Olschewski AG und Co. KG,REVOLUT,2021-10-27,in
92,44,39000,Eberle AG,COMMERZBANK,2018-08-13,in
93,89,13000,SchottGesellschaft M.B.H.,WISE,2020-04-02,out
94,17,31000,Basler und Bongartz G.m.b.H.,COMMERZBANK,2021-08-18,out
95,97,25000,Wittenberg und Kaps K.G,N26,2020-06-24,in
96,28,40000,Giebel und Smith AG und Co. KG,DEUTSCHE BANK,2019-11-06,in
97,31,17000,Debus und Witzke GmbH u. Co. KG,COMMERZBANK,2020-05-15,in
98,96,32000,Andresen und Mücke GmbH & Co. KG,REVOLUT,2021-09-15,in
99,69,24000,Flohr und Schüle G.M.B.H.,COMMERZBANK,2021-02-12,out
100,22,15000,JankowskiKommanditgesellschaft,N26,2019-06-29,in
101,33,33000,Hunger A.G,WISE,2020-01-14,out
102,2,14000,Schönherr Offene Handelsgesellschaft,DEUTSCHE BANK,2021-12-09,in
103,67,35000,Püschel GmbH,SANTANDER,2019-05-18,in
104,5,14000,Wagner & ThöneGesellschaft M.B.H.,REVOLUT,2018-04-23,out
105,26,43000,Gölz Gesellschaft M.B.H.,DEUTSCHE BANK,2021-12-03,out
106,45,19000,Böhmer O.H.G,DEUTSCHE BANK,2018-09-22,out
107,34,14000,Selzer AG & Co. KG,REVOLUT,2020-07-04,in
108,10,26000,Ammann A.G. & Co. KG,COMMERZBANK,2020-04-21,out
109,60,18000,Sohn OHG,DEUTSCHE BANK,2021-06-26,out
110,64,50000,Schroeder GMBH,DEUTSCHE BANK,2021-08-09,in
111,41,14000,Niehaus GMBH,SANTANDER,2018-07-11,out
112,42,44000,Behm O.H.G,DEUTSCHE BANK,2020-12-28,out
113,93,43000,Stolz AG und Co. KG,COMMERZBANK,2018-08-09,in
114,60,17000,Kamps GmbH & Co. KG,COMMERZBANK,2019-07-16,out
115,79,47000,Siewert u. Stich A.G.,DEUTSCHE BANK,2019-07-31,in
116,7,43000,Dost A.G,COMMERZBANK,2020-03-16,out
117,60,44000,Brück und Hieber AG u. Co. KG,SANTANDER,2019-03-17,out
118,41,21000,Rösch GmbH & Co. KG,SANTANDER,2019-08-04,out
119,54,38000,JacobsenGesellschaft mit beschränkter Haftung,DEUTSCHE BANK,2018-11-22,in
120,1,24000,Feldmeier & Gabler A.G,COMMERZBANK,2020-06-16,in
121,29,10000,Maaß O.H.G,N26,2018-03-23,in
122,59,20000,Radtke und Kretzschmar OHG,DEUTSCHE BANK,2018-02-15,in
123,1,13000,Georgi und Lehmkuhl G.m.b.H.,SANTANDER,2018-07-04,in
124,99,43000,Rombach & Deutschmann Aktiengesellschaft,DEUTSCHE BANK,2020-11-14,out
125,28,50000,Sahin AG u. Co. KG,COMMERZBANK,2020-02-25,in
126,24,21000,Licht GMBH,COMMERZBANK,2019-02-14,in
127,3,35000,Jakob K.G,SANTANDER,2018-10-13,in
128,69,39000,Flohr und Schüle G.M.B.H.,N26,2019-08-03,in
129,61,30000,HagelOffene Handelsgesellschaft,DEUTSCHE BANK,2018-06-04,in
130,3,23000,MichalskiOffene Handelsgesellschaft,SANTANDER,2019-09-01,in
131,29,23000,Angermann AG,DEUTSCHE BANK,2020-02-21,in
132,49,32000,Steinke und Schiffer AG u. Co. KG,COMMERZBANK,2018-08-01,out
133,34,36000,Mahn K.G.,COMMERZBANK,2019-08-10,out
134,40,45000,NolteGesellschaft mit beschränkter Haftung,SANTANDER,2019-06-18,in
135,84,46000,Zühlke AG und Co. KG,COMMERZBANK,2019-12-14,in
136,100,21000,Niemann GmbH,COMMERZBANK,2018-07-09,in
137,1,36000,Wunderlich G.M.B.H.,SANTANDER,2018-12-22,in
138,97,27000,Wittenberg und Kaps K.G,DEUTSCHE BANK,2021-03-15,out
139,67,40000,Dörfler Gesellschaft mit beschränkter Haftung,SANTANDER,2021-01-29,out
140,50,11000,Pabst G.m.b.H.,COMMERZBANK,2021-08-31,out
141,94,15000,Matthies AG,COMMERZBANK,2019-06-16,out
142,69,42000,Stemmer Kommanditgesellschaft,SANTANDER,2021-11-09,out
143,70,36000,Häuser und Behling O.H.G,SANTANDER,2019-07-12,out
144,3,20000,EisenmannGesellschaft mit beschränkter Haftung,DEUTSCHE BANK,2019-07-08,in
145,5,22000,Wagner & ThöneGesellschaft M.B.H.,SANTANDER,2020-09-11,in
146,46,33000,Lochner A.G,WISE,2019-10-25,in
147,81,47000,Keck GmbH & Co. KG,DEUTSCHE BANK,2019-01-01,in
148,32,40000,Ganser O.H.G,REVOLUT,2019-08-08,in
149,64,49000,Kissel AG und Co. KG,COMMERZBANK,2019-12-14,in
150,79,16000,Mauch & Schuch Gesellschaft mit beschränkter Haftung,COMMERZBANK,2020-02-16,out
151,23,41000,Heisig Offene Handelsgesellschaft,DEUTSCHE BANK,2020-01-02,out
152,91,14000,Neufeld und Meisel Offene Handelsgesellschaft,SANTANDER,2021-07-15,out
153,91,38000,Czech AG und Co. KG,COMMERZBANK,2021-12-03,out
154,28,43000,Keitel G.m.b.H.,WISE,2018-11-24,in
155,1,45000,Maul & Kunz GMBH,SANTANDER,2018-11-19,out
156,24,30000,Licht GMBH,COMMERZBANK,2018-04-08,in
157,16,27000,Freyer Offene Handelsgesellschaft,DEUTSCHE BANK,2021-06-05,in
158,9,11000,Straub K.G,DEUTSCHE BANK,2021-02-02,in
159,68,36000,Färber u. Königs GmbH & Co. KG,N26,2020-07-19,out
160,81,20000,Heider AG u. Co. KG,COMMERZBANK,2018-02-06,out
161,77,13000,Piel AG und Co. KG,COMMERZBANK,2020-03-31,out
162,54,41000,JacobsenGesellschaft mit beschränkter Haftung,SANTANDER,2019-04-26,out
163,65,22000,Kranz KG,COMMERZBANK,2020-02-19,in
164,99,34000,Leitner GmbH und Co. KG,DEUTSCHE BANK,2018-06-19,in
165,73,14000,Wendel & Panzer GmbH u. Co. KG,SANTANDER,2021-02-09,in
166,37,29000,Kunert AG und Co. KG,DEUTSCHE BANK,2020-02-01,out
167,11,27000,Storm GmbH,N26,2019-10-07,out
168,91,45000,Träger A.G,COMMERZBANK,2019-12-01,in
169,43,13000,Engelke und Ruff K.G,COMMERZBANK,2018-01-07,out
170,82,18000,ImhofGesellschaft M.B.H.,COMMERZBANK,2021-09-11,in
171,10,33000,Wittwer u. Glas G.M.B.H.,WISE,2019-11-09,out
172,38,26000,Mattes O.H.G,COMMERZBANK,2018-10-15,out
173,16,24000,Ritschel und Volk O.H.G.,REVOLUT,2021-06-24,in
174,16,28000,Freyer Offene Handelsgesellschaft,DEUTSCHE BANK,2018-04-21,out
175,23,31000,Brucker GmbH und Co. KG,SANTANDER,2021-09-23,in
176,80,39000,Vogt & KroppKommanditgesellschaft,SANTANDER,2019-07-02,in
177,21,31000,Lüth und Ebner GmbH & Co. KG,COMMERZBANK,2019-12-03,in
178,58,43000,Gutjahr GmbH und Co. KG,SANTANDER,2019-06-06,in
179,93,43000,Mertens & Franz Gesellschaft mbH,SANTANDER,2019-05-10,in
180,3,21000,Jakob K.G,WISE,2020-07-23,out
181,9,18000,Wein G.m.b.H.,SANTANDER,2019-02-26,out
182,13,24000,Kraus u. Mäder K.G.,COMMERZBANK,2021-01-02,out
183,88,47000,Matt und BergGesellschaft mbH,SANTANDER,2019-03-31,out
184,91,15000,Zenker GmbH und Co. KG,DEUTSCHE BANK,2021-09-17,out
185,8,11000,Pech AG und Co. KG,COMMERZBANK,2021-08-03,in
186,89,48000,Simons AG,SANTANDER,2020-12-25,out
187,58,26000,Mohr & Weniger Kommanditgesellschaft,COMMERZBANK,2021-02-03,in
188,96,39000,Krone u. Stingl O.H.G,SANTANDER,2021-07-22,in
189,79,40000,Pauly O.H.G.,DEUTSCHE BANK,2020-12-28,out
190,70,30000,Meiners u. Katzer GmbH & Co. KG,DEUTSCHE BANK,2020-12-05,out
191,97,22000,Wittenberg und Kaps K.G,DEUTSCHE BANK,2021-02-28,out
192,95,21000,Wachter u. Bausch G.M.B.H.,WISE,2021-10-26,in
193,91,27000,Czech AG und Co. KG,DEUTSCHE BANK,2018-06-17,out
194,34,49000,Schönherr AG,SANTANDER,2018-11-21,out
195,71,32000,WendtOffene Handelsgesellschaft,SANTANDER,2018-10-24,in
196,12,43000,Edler O.H.G,WISE,2021-06-30,out
197,74,23000,Feldhaus & Schneller Aktiengesellschaft,DEUTSCHE BANK,2019-06-03,out
198,63,50000,Dehn GmbH & Co. KG,REVOLUT,2018-08-15,out
199,82,28000,Kurtz GMBH,DEUTSCHE BANK,2021-05-04,out
200,13,33000,Schubert AG u. Co. KG,DEUTSCHE BANK,2020-10-25,in
201,37,24000,Behm A.G.,REVOLUT,2019-10-14,in
202,13,29000,Schubert AG u. Co. KG,SANTANDER,2018-10-23,out
203,63,16000,Siegert GmbH u. Co. KG,N26,2021-08-11,out
204,73,28000,Schellenberg und Zenker A.G. & Co. KG,DEUTSCHE BANK,2019-12-13,in
205,95,41000,Frenz GmbH und Co. KG,SANTANDER,2019-03-28,out
206,95,35000,Wachter u. Bausch G.M.B.H.,N26,2020-09-11,in
207,57,42000,ScheuermannGesellschaft mbH,DEUTSCHE BANK,2020-08-17,in
208,37,41000,Behm A.G.,SANTANDER,2021-03-07,out
209,76,26000,Faber OHG,WISE,2018-03-17,in
210,15,29000,Flick AG & Co. KG,COMMERZBANK,2019-05-16,out
211,78,42000,Mester A.G. & Co. KG,COMMERZBANK,2018-04-22,in
212,42,17000,LiedtkeAktiengesellschaft,WISE,2018-08-30,out
213,95,31000,Schmieder und Kolbe A.G.,SANTANDER,2018-12-16,out
214,14,23000,Schink GmbH u. Co. KG,DEUTSCHE BANK,2021-10-02,in
215,26,15000,Platz A.G. & Co. KG,WISE,2019-08-29,out
216,37,14000,Riegel & Topp AG & Co. KG,REVOLUT,2018-10-15,out
217,48,35000,Bastian AG und Co. KG,REVOLUT,2021-05-01,in
218,34,34000,Wölfel & Rößner G.m.b.H.,SANTANDER,2019-10-06,in
219,66,20000,Scheibel OHG,COMMERZBANK,2019-05-19,out
220,69,25000,Ehrmann AG und Co. KG,SANTANDER,2018-12-11,in
221,36,24000,Fromme KG,DEUTSCHE BANK,2020-07-07,out
222,85,46000,MerkGesellschaft M.B.H.,COMMERZBANK,2019-04-09,out
223,30,36000,PolsterGesellschaft M.B.H.,DEUTSCHE BANK,2018-06-02,in
224,93,50000,Mertens & Franz Gesellschaft mbH,DEUTSCHE BANK,2019-11-02,out
225,70,13000,Grothe AG,SANTANDER,2019-11-04,in
226,36,33000,Graupner & Breyer K.G,REVOLUT,2019-03-21,out
227,15,37000,Matheis GmbH & Co. KG,WISE,2020-09-16,out
228,73,24000,Zell AG,DEUTSCHE BANK,2021-08-04,out
229,88,50000,Eller AG,REVOLUT,2019-03-22,out
230,85,29000,Staudinger GmbH & Co. KG,DEUTSCHE BANK,2018-09-27,in
231,32,36000,Holzer & Steigerwald Aktiengesellschaft,DEUTSCHE BANK,2021-10-25,out
232,8,40000,Krampe und Lex Offene Handelsgesellschaft,WISE,2019-06-03,in
233,51,20000,Bachmann A.G.,COMMERZBANK,2020-03-30,in
234,47,13000,Wegmann Offene Handelsgesellschaft,COMMERZBANK,2019-10-22,out
235,2,37000,Thiele & Hammes GmbH & Co. KG,N26,2019-03-26,out
236,46,23000,Straßer AG,WISE,2021-04-30,in
237,77,43000,Sobotta A.G,DEUTSCHE BANK,2021-06-13,in
238,44,12000,Eberle AG,SANTANDER,2020-05-29,in
239,2,24000,Tews GMBH,REVOLUT,2021-10-25,in
240,36,21000,Funk K.G,DEUTSCHE BANK,2021-04-26,out
241,85,20000,Pohle & Stang G.M.B.H.,N26,2021-05-25,in
242,60,16000,Kamps GmbH & Co. KG,COMMERZBANK,2021-12-19,out
243,81,29000,Kolbe OHG,WISE,2020-12-11,out
244,29,41000,Angermann AG,DEUTSCHE BANK,2018-11-20,in
245,17,23000,Basler und Bongartz G.m.b.H.,SANTANDER,2019-04-08,out
246,32,49000,Selle A.G,N26,2018-06-05,in
247,90,17000,Kupka AG & Co. KG,N26,2021-05-27,out
248,22,24000,Gehring KG,REVOLUT,2020-07-07,in
249,48,47000,Pagel u. Merkel GmbH und Co. KG,REVOLUT,2020-02-26,in
250,66,42000,Loos GMBH,COMMERZBANK,2018-01-16,out
251,65,19000,Schuller A.G.,WISE,2020-04-20,out
252,59,16000,Siegel AG,COMMERZBANK,2019-03-14,out
253,76,17000,Scheibe GmbH,DEUTSCHE BANK,2021-03-11,out
254,12,38000,Brummer & PolsterGesellschaft mbH,REVOLUT,2018-09-25,out
255,29,17000,Angermann AG,DEUTSCHE BANK,2020-04-07,out
256,9,25000,Wein G.m.b.H.,WISE,2020-11-01,in
257,93,40000,Radermacher AG & Co. KG,N26,2018-09-27,out
258,42,25000,Pätzold O.H.G,COMMERZBANK,2020-04-23,out
259,23,16000,Heisig Offene Handelsgesellschaft,N26,2019-02-23,out
260,7,38000,Abt Aktiengesellschaft,COMMERZBANK,2021-07-06,in
261,28,49000,Keitel G.m.b.H.,DEUTSCHE BANK,2020-10-05,in
262,93,13000,Mertens & Franz Gesellschaft mbH,REVOLUT,2018-04-09,out
263,94,41000,Matthies AG,DEUTSCHE BANK,2018-10-09,out
264,50,13000,Pabst G.m.b.H.,WISE,2021-01-21,out
265,57,35000,Rusch O.H.G.,N26,2019-12-08,in
266,65,42000,Peschke & Fritze K.G,SANTANDER,2021-01-29,out
267,89,23000,Karg OHG,COMMERZBANK,2019-10-02,in
268,5,12000,Dose u. Oswald GmbH u. Co. KG,SANTANDER,2021-03-13,out
269,75,18000,Hensel und Olschewski AG und Co. KG,REVOLUT,2020-11-29,out
270,7,28000,Welsch G.M.B.H.,COMMERZBANK,2019-03-19,in
271,59,40000,Siegel AG,N26,2020-10-11,in
272,13,49000,Schubert AG u. Co. KG,DEUTSCHE BANK,2021-03-10,out
273,46,15000,Seibold KG,SANTANDER,2020-12-17,in
274,52,21000,Böttner A.G.,REVOLUT,2018-11-07,in
275,50,41000,Mühlberger GmbH & Co. KG,COMMERZBANK,2020-02-20,in
276,30,50000,Nehls und Wedel A.G.,N26,2019-02-05,out
277,26,13000,Heindl G.m.b.H.,DEUTSCHE BANK,2020-04-01,in
278,69,29000,Melzer u. Pohlmann O.H.G,DEUTSCHE BANK,2018-01-09,out
279,5,19000,Zitzmann A.G.,WISE,2019-09-15,out
280,71,42000,Stiegler Gesellschaft M.B.H.,DEUTSCHE BANK,2021-05-04,in
281,54,27000,Brenner Offene Handelsgesellschaft,DEUTSCHE BANK,2020-11-16,out
282,64,13000,Förster A.G.,COMMERZBANK,2020-11-11,out
283,100,37000,Buchner A.G.,REVOLUT,2019-11-28,in
284,36,38000,Funk K.G,SANTANDER,2018-02-01,in
285,76,14000,Poth K.G.,DEUTSCHE BANK,2018-01-07,out
286,4,24000,Kley GMBH,SANTANDER,2020-01-13,out
287,28,35000,Keitel G.m.b.H.,SANTANDER,2018-07-19,out
288,55,22000,Hagedorn AG u. Co. KG,N26,2020-06-23,in
289,13,34000,Thielemann GMBH,WISE,2018-02-14,out
290,5,17000,Weyand GMBH,DEUTSCHE BANK,2018-09-16,out
291,70,28000,Kloß u. Rohrbach GMBH,COMMERZBANK,2018-01-11,out
292,54,12000,Störmer A.G.,DEUTSCHE BANK,2020-08-11,out
293,75,31000,BeetzAktiengesellschaft,WISE,2019-05-29,out
294,56,15000,Brendel AG,N26,2019-01-13,in
295,16,27000,Freyer Offene Handelsgesellschaft,COMMERZBANK,2019-07-03,in
296,57,35000,Paul O.H.G,DEUTSCHE BANK,2020-02-18,out
297,91,15000,Czech AG und Co. KG,WISE,2020-05-20,out
298,42,25000,Manke GmbH u. Co. KG,SANTANDER,2019-10-27,out
299,6,14000,Fichtner O.H.G.,WISE,2018-02-03,in
300,13,35000,Leis & Pfeifer KG,DEUTSCHE BANK,2018-02-19,out
301,96,11000,Dieckmann und Rosenthal G.m.b.H.,SANTANDER,2018-08-25,in
302,70,24000,Kindler GmbH u. Co. KG,DEUTSCHE BANK,2020-12-16,in
303,80,48000,Bott u. Brecht A.G.,REVOLUT,2020-07-11,out
304,86,11000,Zacher & Sager O.H.G,COMMERZBANK,2019-07-03,out
305,88,23000,Peukert und Stumpe GmbH und Co. KG,N26,2018-08-29,in
306,34,15000,Selzer AG & Co. KG,DEUTSCHE BANK,2020-10-09,out
307,63,20000,Scheid A.G. & Co. KG,N26,2019-05-26,in
308,84,22000,Busche A.G. & Co. KG,COMMERZBANK,2020-04-14,out
309,77,46000,KirschbaumGesellschaft mit beschränkter Haftung,SANTANDER,2020-02-22,in
310,82,20000,Melzer O.H.G,REVOLUT,2019-08-14,out
311,60,27000,FröhlichKommanditgesellschaft,COMMERZBANK,2019-08-07,out
312,97,27000,Mauer G.M.B.H.,WISE,2018-12-23,out
313,42,29000,Pütz A.G,SANTANDER,2020-12-12,out
314,95,39000,Kretzschmar u. Stelzer K.G,N26,2019-07-26,out
315,85,27000,Pohle & Stang G.M.B.H.,N26,2019-12-03,out
316,53,30000,Knoch A.G.,COMMERZBANK,2018-07-01,in
317,26,33000,Platz A.G. & Co. KG,N26,2019-08-22,in
318,14,18000,Nadler & Sager A.G. & Co. KG,WISE,2018-12-27,in
319,100,37000,Buchner A.G.,DEUTSCHE BANK,2019-08-13,in
320,58,12000,Worm & Weinmann O.H.G,DEUTSCHE BANK,2021-02-12,out
321,61,29000,HagelOffene Handelsgesellschaft,COMMERZBANK,2018-05-29,in
322,85,38000,Pohle & Stang G.M.B.H.,SANTANDER,2019-12-26,out
323,93,33000,KöpkeGesellschaft mbH,COMMERZBANK,2018-12-19,in
324,83,28000,Hielscher u. Götze A.G,REVOLUT,2019-11-16,out
325,37,36000,Röser u. Breu AG u. Co. KG,COMMERZBANK,2021-08-17,out
326,68,24000,Ruf u. Krawczyk O.H.G.,COMMERZBANK,2019-01-14,in
327,22,17000,Pöschl und Kretschmann KG,SANTANDER,2018-03-19,out
328,51,14000,Bachmann A.G.,SANTANDER,2020-05-06,out
329,33,41000,Bauer A.G,DEUTSCHE BANK,2019-02-04,in
330,89,17000,SchottGesellschaft M.B.H.,WISE,2019-09-28,in
331,82,21000,ImhofGesellschaft M.B.H.,DEUTSCHE BANK,2019-04-11,in
332,45,49000,Mast u. Kämmerer AG und Co. KG,COMMERZBANK,2021-04-01,in
333,58,28000,Strauß AG,SANTANDER,2019-03-05,out
334,8,22000,Stöber und Heise Gesellschaft mit beschränkter Haftung,REVOLUT,2021-05-05,out
335,5,31000,Plum G.m.b.H.,WISE,2019-10-08,in
336,94,26000,Volkert A.G.,N26,2019-03-09,in
337,44,34000,Hau O.H.G,SANTANDER,2018-05-26,out
338,23,29000,Bartel A.G,SANTANDER,2020-02-11,in
339,68,40000,Färber u. Königs GmbH & Co. KG,DEUTSCHE BANK,2020-07-29,in
340,97,37000,Wittenberg und Kaps K.G,SANTANDER,2018-04-13,out
341,88,25000,Flick und Schönberg AG & Co. KG,N26,2018-02-17,in
342,5,13000,Wagner & ThöneGesellschaft M.B.H.,DEUTSCHE BANK,2018-06-25,out
343,68,13000,Asmus GmbH,SANTANDER,2020-09-09,in
344,49,17000,Küppers O.H.G,DEUTSCHE BANK,2021-02-09,in
345,65,10000,Pollak A.G. & Co. KG,N26,2018-02-03,in
346,22,49000,Hammel & Kock Kommanditgesellschaft,COMMERZBANK,2018-06-01,in
347,91,41000,Czech AG und Co. KG,WISE,2019-06-12,out
348,58,31000,Speck GMBH,REVOLUT,2021-07-15,out
349,84,41000,Marschner AG u. Co. KG,COMMERZBANK,2020-12-29,out
350,26,16000,Grabow GmbH,DEUTSCHE BANK,2019-11-19,in
351,30,23000,Nehls und Wedel A.G.,N26,2019-03-03,out
352,69,22000,Klett KG,WISE,2021-01-09,in
353,25,44000,Stecher K.G,DEUTSCHE BANK,2018-01-27,in
354,2,34000,HeldOffene Handelsgesellschaft,SANTANDER,2019-05-07,in
355,69,21000,Traub AG,DEUTSCHE BANK,2018-09-19,out
356,34,16000,KleyGesellschaft mbH,COMMERZBANK,2021-06-09,in
357,91,40000,Kühne & Wortmann AG und Co. KG,SANTANDER,2021-06-04,out
358,24,30000,Bosch & Grube K.G.,WISE,2018-12-12,in
359,28,36000,Keitel G.m.b.H.,COMMERZBANK,2019-09-23,out
360,33,39000,Hunger A.G,COMMERZBANK,2021-01-24,in
361,58,20000,Oster AG & Co. KG,N26,2019-09-19,in
362,96,37000,Andresen und Mücke GmbH & Co. KG,DEUTSCHE BANK,2018-12-12,out
363,95,11000,Niehues O.H.G,WISE,2020-02-22,out
364,5,28000,Langhammer und Uhlig KG,WISE,2019-01-18,out
365,19,40000,Seewald & Rudloff A.G. & Co. KG,DEUTSCHE BANK,2018-11-01,in
366,64,30000,Behn GmbH,REVOLUT,2018-07-07,in
367,24,41000,KerberAktiengesellschaft,SANTANDER,2020-06-28,out
